key,value,check,fuzzy
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
